,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
29153,1083346,55,WATER ST,MANHATTAN,101,004918151004918511,1838561,AHV PERMIT REJECTED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,05/25/2021 12:00:00 AM,05/25/2021 06:59:00 AM,FALSE,TRUE,FALSE,FALSE,40.703608,-74.009691,1,1,9,1000327501,BATTERY PARK CITY-LOWER MANHATTAN
50993,3257037,38,FLEET WALK,BROOKLYN,302,003254491003302351003523411,3113185,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/04/2021 06:00:00 PM,10/04/2021 11:59:00 PM,TRUE,FALSE,FALSE,FALSE,40.69469,-73.981735,2,35,15,3020500001,DUMBO-VINEGAR HILL-DOWNTOWN BROOKLYN-BOERUM HILL
41332,1076176,125,WEST 55 ST,MANHATTAN,105,005467301,8482173,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,08/04/2021 06:00:00 PM,08/05/2021 01:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.763514,-73.979276,5,4,137,1010080019,MIDTOWN-MIDTOWN SOUTH
57098,3257035,60,FLEET WALK,BROOKLYN,302,003251791003253071003523381,5069556,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/23/2021 08:00:00 AM,10/23/2021 06:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.694196,-73.981861,2,35,15,3020500001,DUMBO-VINEGAR HILL-DOWNTOWN BROOKLYN-BOERUM HILL
54646,1036151,125,PARK AVE,MANHATTAN,105,005789581005789751,3208412,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/13/2021 06:00:00 PM,10/14/2021 02:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.751681,-73.977677,5,4,80,1012960001,MURRAY HILL-KIPS BAY
12160,1090825,10,VANDERBILT AVE,MANHATTAN,105,002467371,9246171,APPROVED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,07/17/2020 06:00:00 PM,07/18/2020 02:00:00 AM,FALSE,TRUE,FALSE,FALSE,40.752732,-73.978138,5,4,94,1012770027,MIDTOWN-MIDTOWN SOUTH
56934,3257037,38,FLEET WALK,BROOKLYN,302,003254491003302351003523411,3195540,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/23/2021 08:00:00 AM,10/23/2021 06:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.69469,-73.981735,2,35,15,3020500001,DUMBO-VINEGAR HILL-DOWNTOWN BROOKLYN-BOERUM HILL
48630,1034510,1290,AVENUE OF THE AMERICAS,MANHATTAN,105,005123931,6839016,AHV PERMIT ISSUED,INITIAL,UNDUE HARDSHIP,09/04/2021 06:00:00 AM,09/04/2021 05:00:00 PM,FALSE,TRUE,FALSE,FALSE,40.760857,-73.979717,5,4,104,1012670001,MIDTOWN-MIDTOWN SOUTH
33274,1082153,605,3 AVE,MANHATTAN,106,005380401,3249905,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,07/22/2021 10:00:00 PM,07/23/2021 02:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.749076,-73.975682,6,4,88,1009200012,TURTLE BAY-EAST MIDTOWN
2459,4615628,28-07,JACKSON AVE,QUEENS,402,003239071,9535108,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,08/29/2020 07:00:00 AM,08/29/2020 03:30:00 PM,FALSE,TRUE,FALSE,FALSE,40.748434,-73.938768,2,26,19,4004200001,HUNTERS POINT-SUNNYSIDE-WEST MASPETH
9843,2092113,500,EAST 171 ST,BRONX,203,002172671,2527597,AHV PERMIT ISSUED,INITIAL,EMERGENCY WORK,11/27/2019 06:00:00 PM,11/27/2019 10:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.837489,-73.902916,3,16,14702,2029110001,CLAREMONT-BATHGATE
13857,3332221,465,COLUMBIA ST,BROOKLYN,306,000638841,6504641,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,07/20/2019 08:00:00 AM,07/20/2019 04:30:00 PM,TRUE,FALSE,FALSE,FALSE,40.676375,-74.006861,6,38,85,3005380001,CARROLL GARDENS-COLUMBIA STREET-RED HOOK
